class,salary,bonus,long_term_incentive,deferred_income,deferral_payments,loan_advances,other,expenses,director_fees,total_payments,exercised_stock_options,restricted_stock,restricted_stock_deferred,total_stock_value,from_poi_to_this_person,shared_receipt_with_poi,to_messages,from_this_person_to_poi,from_messages
0,201955,4175000,304805,-3081055,2869717,0,152,13868,0,4484442,1729541,126027,-126027,1729541,47,1407,2902,65,2195
0,0,0,0,0,178980,0,0,3486,0,182466,257817,0,0,257817,0,0,0,0,0
0,477,0,0,-5104,0,0,864523,56301,0,916197,4046157,1757552,-560222,5243487,39,465,566,0,29
0,267102,1200000,1586055,-1386055,1295738,0,2660303,11200,0,5634343,6680544,3942714,0,10623258,0,0,0,0,0
0,239671,400000,0,-201641,260455,0,69,129142,0,827696,0,145796,-82782,63014,0,0,0,0,0
0,80818,0,93750,0,684694,0,874,0,0,860136,1599641,0,0,1599641,0,0,0,0,0
0,231330,700000,0,0,0,0,566,37172,0,969068,0,126027,0,126027,144,2639,7315,386,4343
1,213999,5249999,0,-2334434,2144013,0,210698,17355,0,5501630,953136,157569,0,1110705,228,5521,7991,108,484
0,0,0,0,0,-102500,3285,0,0,102500,3285,-44093,0,44093,0,0,0,0,0,0
0,216582,0,0,0,0,0,0,11892,0,228474,1624396,869220,0,2493616,0,0,0,0,0
0,187922,250000,180250,-485813,0,0,427316,59175,0,618850,0,659249,0,659249,4,233,383,0,59
0,0,0,0,0,0,137864,0,0,0,137864,-2604490,15456290,2604490,15456290,0,463,523,1,29
0,213625,1000000,369721,0,0,0,425688,38559,0,2047593,1465734,378082,0,1843816,23,1336,1607,8,40
0,248546,850000,831809,0,0,0,272,84208,0,2014835,765313,189041,0,954354,25,2326,2475,2,14
0,0,0,0,-113784,0,0,0,1279,113784,1279,0,0,0,0,0,0,0,0,0
1,278601,1350000,974293,-833,0,0,1621,65907,0,2669589,0,252055,0,252055,140,1593,1858,15,27
0,0,0,0,0,0,0,0,49288,0,49288,0,0,0,0,13,761,1486,1,41
0,248017,500000,304805,0,0,0,1215,600,0,1054637,825464,189041,0,1014505,0,23,1088,0,125
0,261516,750000,175000,-75000,0,0,150656,9410,0,1271582,0,417619,0,417619,0,0,0,0,0
0,330546,900000,769862,-694862,649584,0,400572,0,0,2355702,2542813,901657,0,3444470,156,2333,3523,71,1053
1,240189,1250000,375304,-262500,0,0,486,35818,0,1639297,0,126027,0,126027,199,2188,2598,25,144
0,261809,300000,75000,-159792,0,0,540,0,0,477557,0,307301,-307301,0,29,196,312,7,15
1,415189,1000000,350000,-235000,0,0,307895,30674,0,1868758,0,2502063,0,2502063,58,1585,1892,12,49
0,0,0,0,-98784,0,0,0,0,98784,0,0,32460,-32460,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5127155,950730,0,6077885,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,662086,-472568,189518,0,0,0,0,0
1,288542,1200000,0,-144062,27610,0,101740,16514,0,1490344,0,698242,0,698242,240,1132,1758,11,40
0,0,0,0,0,0,0,0,0,0,0,651850,386335,0,1038185,10,58,764,0,12
0,314288,800000,0,-41250,0,0,494,27861,0,1101393,117551,378082,0,495633,0,71,102,4,33
0,184899,325000,275000,0,0,0,713,22344,0,807956,0,207940,0,207940,0,0,0,0,0
0,206121,600000,335349,0,0,0,25553,41626,0,1208649,17378,141833,0,159211,115,552,714,4,74
1,365163,3000000,1294981,0,0,0,1661,86174,0,4747979,2291113,1323148,0,3614261,66,2097,3093,609,3069
0,492375,800000,484000,-1284000,0,0,7482,51124,0,550981,8831913,1787380,-1787380,8831913,64,1401,2181,20,909
0,210500,425000,415657,-775241,875307,0,1105,52255,0,1204583,2027865,315068,-315068,2027865,0,0,0,0,0
0,250100,600000,556416,0,0,0,473,3475,0,1410464,1550019,315068,0,1865087,305,1902,2572,14,63
0,262788,1000000,694862,0,0,0,374689,35812,0,2368151,8191755,126027,0,8317782,0,0,0,0,0
0,221003,70000,0,0,0,0,774,28164,0,319941,0,0,0,0,10,114,176,3,14
0,278601,800000,0,-300000,0,0,891,96268,0,875760,765920,315068,0,1080988,188,772,865,11,22
